vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
865.0E-3,374.8E-6,680.7E-6,1.168E-3,1.559E-3,1.892E-3,2.185E-3,2.448E-3
870.0E-3,374.7E-6,680.5E-6,1.167E-3,1.558E-3,1.891E-3,2.183E-3,2.446E-3
875.0E-3,374.7E-6,680.3E-6,1.167E-3,1.558E-3,1.890E-3,2.182E-3,2.445E-3
880.0E-3,374.6E-6,680.1E-6,1.166E-3,1.557E-3,1.889E-3,2.181E-3,2.443E-3
885.0E-3,374.6E-6,679.9E-6,1.166E-3,1.556E-3,1.888E-3,2.179E-3,2.441E-3
890.0E-3,374.5E-6,679.7E-6,1.165E-3,1.555E-3,1.886E-3,2.178E-3,2.439E-3
895.0E-3,374.4E-6,679.6E-6,1.165E-3,1.554E-3,1.885E-3,2.176E-3,2.438E-3
900.0E-3,374.4E-6,679.4E-6,1.165E-3,1.553E-3,1.884E-3,2.175E-3,2.436E-3
905.0E-3,374.3E-6,679.2E-6,1.164E-3,1.553E-3,1.883E-3,2.173E-3,2.434E-3
910.0E-3,374.3E-6,679.0E-6,1.164E-3,1.552E-3,1.882E-3,2.172E-3,2.432E-3
915.0E-3,374.2E-6,678.8E-6,1.163E-3,1.551E-3,1.881E-3,2.170E-3,2.431E-3
920.0E-3,374.2E-6,678.6E-6,1.163E-3,1.550E-3,1.880E-3,2.169E-3,2.429E-3
925.0E-3,374.1E-6,678.4E-6,1.162E-3,1.549E-3,1.879E-3,2.168E-3,2.427E-3
930.0E-3,374.0E-6,678.3E-6,1.162E-3,1.549E-3,1.877E-3,2.166E-3,2.426E-3
935.0E-3,374.0E-6,678.1E-6,1.161E-3,1.548E-3,1.876E-3,2.165E-3,2.424E-3
940.0E-3,373.9E-6,677.9E-6,1.161E-3,1.547E-3,1.875E-3,2.163E-3,2.422E-3
945.0E-3,373.9E-6,677.7E-6,1.160E-3,1.546E-3,1.874E-3,2.162E-3,2.421E-3
950.0E-3,373.8E-6,677.5E-6,1.160E-3,1.545E-3,1.873E-3,2.161E-3,2.419E-3
955.0E-3,373.8E-6,677.3E-6,1.159E-3,1.545E-3,1.872E-3,2.159E-3,2.417E-3
960.0E-3,373.7E-6,677.2E-6,1.159E-3,1.544E-3,1.871E-3,2.158E-3,2.416E-3
965.0E-3,373.7E-6,677.0E-6,1.158E-3,1.543E-3,1.870E-3,2.156E-3,2.414E-3
970.0E-3,373.6E-6,676.8E-6,1.158E-3,1.542E-3,1.869E-3,2.155E-3,2.412E-3
975.0E-3,373.6E-6,676.6E-6,1.157E-3,1.541E-3,1.868E-3,2.154E-3,2.411E-3
980.0E-3,373.5E-6,676.4E-6,1.157E-3,1.541E-3,1.866E-3,2.152E-3,2.409E-3
985.0E-3,373.5E-6,676.3E-6,1.156E-3,1.540E-3,1.865E-3,2.151E-3,2.407E-3
990.0E-3,373.4E-6,676.1E-6,1.156E-3,1.539E-3,1.864E-3,2.150E-3,2.406E-3
995.0E-3,373.4E-6,675.9E-6,1.155E-3,1.538E-3,1.863E-3,2.148E-3,2.404E-3
1.000,373.3E-6,675.7E-6,1.155E-3,1.538E-3,1.862E-3,2.147E-3,2.402E-3
1.005,373.3E-6,675.5E-6,1.154E-3,1.537E-3,1.861E-3,2.145E-3,2.401E-3
1.010,373.2E-6,675.4E-6,1.154E-3,1.536E-3,1.860E-3,2.144E-3,2.399E-3
1.015,373.2E-6,675.2E-6,1.153E-3,1.535E-3,1.859E-3,2.143E-3,2.397E-3
1.020,373.1E-6,675.0E-6,1.153E-3,1.534E-3,1.858E-3,2.141E-3,2.396E-3
1.025,373.1E-6,674.8E-6,1.152E-3,1.534E-3,1.857E-3,2.140E-3,2.394E-3
1.030,373.1E-6,674.7E-6,1.152E-3,1.533E-3,1.856E-3,2.139E-3,2.393E-3
1.035,373.0E-6,674.5E-6,1.151E-3,1.532E-3,1.855E-3,2.137E-3,2.391E-3
1.040,373.0E-6,674.3E-6,1.151E-3,1.531E-3,1.854E-3,2.136E-3,2.389E-3
1.045,373.0E-6,674.2E-6,1.151E-3,1.531E-3,1.852E-3,2.135E-3,2.388E-3
1.050,372.9E-6,674.0E-6,1.150E-3,1.530E-3,1.851E-3,2.133E-3,2.386E-3
1.055,372.9E-6,673.8E-6,1.150E-3,1.529E-3,1.850E-3,2.132E-3,2.385E-3
1.060,372.9E-6,673.7E-6,1.149E-3,1.528E-3,1.849E-3,2.131E-3,2.383E-3
1.065,372.9E-6,673.5E-6,1.149E-3,1.527E-3,1.848E-3,2.129E-3,2.381E-3
1.070,372.8E-6,673.4E-6,1.148E-3,1.527E-3,1.847E-3,2.128E-3,2.380E-3
1.075,372.8E-6,673.2E-6,1.148E-3,1.526E-3,1.846E-3,2.127E-3,2.378E-3
1.080,372.8E-6,673.1E-6,1.147E-3,1.525E-3,1.845E-3,2.125E-3,2.377E-3
1.085,372.8E-6,672.9E-6,1.147E-3,1.524E-3,1.844E-3,2.124E-3,2.375E-3
1.090,372.8E-6,672.8E-6,1.146E-3,1.524E-3,1.843E-3,2.123E-3,2.373E-3
1.095,372.8E-6,672.6E-6,1.146E-3,1.523E-3,1.842E-3,2.121E-3,2.372E-3
1.100,372.8E-6,672.5E-6,1.145E-3,1.522E-3,1.841E-3,2.120E-3,2.370E-3
1.105,372.8E-6,672.3E-6,1.145E-3,1.521E-3,1.840E-3,2.119E-3,2.369E-3
1.110,372.8E-6,672.2E-6,1.145E-3,1.521E-3,1.839E-3,2.118E-3,2.367E-3
1.115,372.8E-6,672.1E-6,1.144E-3,1.520E-3,1.838E-3,2.116E-3,2.366E-3
1.120,372.8E-6,671.9E-6,1.144E-3,1.519E-3,1.837E-3,2.115E-3,2.364E-3
1.125,372.9E-6,671.8E-6,1.143E-3,1.518E-3,1.836E-3,2.114E-3,2.363E-3
1.130,372.9E-6,671.7E-6,1.143E-3,1.518E-3,1.835E-3,2.112E-3,2.361E-3
1.135,372.9E-6,671.6E-6,1.142E-3,1.517E-3,1.834E-3,2.111E-3,2.360E-3
1.140,373.0E-6,671.5E-6,1.142E-3,1.516E-3,1.833E-3,2.110E-3,2.358E-3
1.145,373.0E-6,671.4E-6,1.141E-3,1.516E-3,1.832E-3,2.109E-3,2.356E-3
1.150,373.1E-6,671.3E-6,1.141E-3,1.515E-3,1.831E-3,2.107E-3,2.355E-3
1.155,373.1E-6,671.2E-6,1.141E-3,1.514E-3,1.830E-3,2.106E-3,2.353E-3
1.160,373.2E-6,671.1E-6,1.140E-3,1.513E-3,1.829E-3,2.105E-3,2.352E-3
1.165,373.3E-6,671.0E-6,1.140E-3,1.513E-3,1.828E-3,2.103E-3,2.350E-3
1.170,373.4E-6,670.9E-6,1.139E-3,1.512E-3,1.827E-3,2.102E-3,2.349E-3
1.175,373.5E-6,670.9E-6,1.139E-3,1.511E-3,1.826E-3,2.101E-3,2.347E-3
1.180,373.6E-6,670.8E-6,1.139E-3,1.510E-3,1.825E-3,2.100E-3,2.346E-3
1.185,373.7E-6,670.8E-6,1.138E-3,1.510E-3,1.824E-3,2.098E-3,2.344E-3
1.190,373.8E-6,670.7E-6,1.138E-3,1.509E-3,1.823E-3,2.097E-3,2.343E-3
1.195,373.9E-6,670.7E-6,1.137E-3,1.508E-3,1.822E-3,2.096E-3,2.341E-3
1.200,374.1E-6,670.7E-6,1.137E-3,1.508E-3,1.821E-3,2.095E-3,2.340E-3
